ANN_ACC,TYP_EPV,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,COD_AGG,LOC,COD_TYP_CAR_AGG,COD_TYP_CHA,COD_TOP,COD_TYP_CAR_CAM,COD_PRO_LON,COD_TRA_PLA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN
,,,,,,,,AKHFENNIR,,,,,,,,,,,
,,,,,,,,MARSA,,,,,,,,,,,
,,,,,,,,AIN ZOHRA,,,,,,,,,,,
,,,,,,,,AIT ADEL,,,,,,,,,,,
,,,,,,,,TAZAGHINE,,,,,,,,,,,
,,,,,,,,TROUGOUTE ,,,,,,,,,,,
,,,,,,,,CHICHAOUA,,,,,,,,,,,
,,,,,,,,LAMHAMID,,,,,,,,,,,
,,,,,,,,IMINTANOUTE,,,,,,,,,,,
,,,,,,,,OUKAIMIDEN,,,,,,,,,,,
,,,,,,,,MARRAKECH,,,,,,,,,,,
,,,,,,,,AMGALA,,,,,,,,,,,
,,,,,,,,SIDI MOKHTAR,,,,,,,,,,,
,,,,,,,,TNINE OUDAYA,,,,,,,,,,,
,,,,,,,,SIDI ABDELLAH GHIATE,,,,,,,,,,,
,,,,,,,,KETTARA,,,,,,,,,,,
,,,,,,,,AHADAF,,,,,,,,,,,
,,,,,,,,AIN TAOUJDATE,,,,,,,,,,,
,,,,,,,,AIT YAZEM,,,,,,,,,,,
,,,,,,,,AIN EL ORMA,,,,,,,,,,,
,,,,,,,,HAOUZA,,,,,,,,,,,
,,,,,,,,EL HAJEB,,,,,,,,,,,
,,,,,,,,MEKNES,,,,,,,,,,,
,,,,,,,,MOULAY IDRISS ZERHOUN,,,,,,,,,,,
,,,,,,,,SEBAA-AIOUN,,,,,,,,,,,
,,,,,,,,AIN JEMAA,,,,,,,,,,,
,,,,,,,,BOUFEKRANE,,,,,,,,,,,
,,,,,,,,KERMAT BEN SALEM,,,,,,,,,,,
,,,,,,,,N'ZALAT BNI AMMAR,,,,,,,,,,,
,,,,,,,,BENI ANZAR,,,,,,,,,,,
,,,,,,,,BOUDINAR,,,,,,,,,,,
,,,,,,,,DRIOUCH,,,,,,,,,,,
,,,,,,,,AZIB MIDAR,,,,,,,,,,,
,,,,,,,,MONT AROUIT,,,,,,,,,,,
,,,,,,,,NADOR,,,,,,,,,,,
,,,,,,,,OUIXAN,,,,,,,,,,,
,,,,,,,,RAS EL MAA,,,,,,,,,,,
,,,,,,,,SELOUANE,,,,,,,,,,,
,,,,,,,,ZAIO,,,,,,,,,,,
,,,,,,,,ZEGANGANE,,,,,,,,,,,
,,,,,,,,HAD BENI CHIKER,,,,,,,,,,,
,,,,,,,,TIZTOUTINE,,,,,,,,,,,
,,,,,,,,DAR KEBDANI,,,,,,,,,,,
,,,,,,,,FARKHANA,,,,,,,,,,,
,,,,,,,,IGHREM NOUGDAL,,,,,,,,,,,
,,,,,,,,OUARZAZATE,,,,,,,,,,,
,,,,,,,,AGDZ,,,,,,,,,,,
,,,,,,,,BOUMALNE DU DADES,,,,,,,,,,,
,,,,,,,,JDIRIA,,,,,,,,,,,
,,,,,,,,TAZNAKHT,,,,,,,,,,,
,,,,,,,,TINGHIR,,,,,,,,,,,
,,,,,,,,TAZARINE,,,,,,,,,,,
,,,,,,,,TAGOUNITE,,,,,,,,,,,
,,,,,,,,ZAGORA,,,,,,,,,,,
,,,,,,,,M'HAMID EL GHIZLANE,,,,,,,,,,,
,,,,,,,,SKOURA,,,,,,,,,,,
,,,,,,,,M'SEMRIR,,,,,,,,,,,
,,,,,,,,EL KELAA M'GOUNA,,,,,,,,,,,
,,,,,,,,AHFIR,,,,,,,,,,,
,,,,,,,,AIN BENI MATHAR,,,,,,,,,,,
,,,,,,,,BERGUENT,,,,,,,,,,,
,,,,,,,,BERKANE,,,,,,,,,,,
,,,,,,,,BENI-DRAR,,,,,,,,,,,
,,,,,,,,DEBDOU,,,,,,,,,,,
,,,,,,,,EL AIOUNE,,,,,,,,,,,
,,,,,,,,JERADA,,,,,,,,,,,
,,,,,,,,MECHRAA KLILA,,,,,,,,,,,
,,,,,,,,OUJDA,,,,,,,,,,,
,,,,,,,,SAIDIA,,,,,,,,,,,
,,,,,,,,SIDI YAHYA BNI BAHDEL,,,,,,,,,,,
,,,,,,,,TAFOUGHALT,,,,,,,,,,,
,,,,,,,,TAOURIRT,,,,,,,,,,,
,,,,,,,,TOUISSIT BOUBKER,,,,,,,,,,,
,,,,,,,,NAIMA,,,,,,,,,,,
